order_id,creation_datetime,cod_value_sgd,granular_status,rts_flag,order_type,shipper_id,shipper_reference_number,delivery_type,pickup_hub_id,pickup_datetime,pickup_attempts,pickup_driver_id,description,from_city,to_city,dest_province_code,delivery_success_hub_id,delivery_success_datetime,rts_trigger_datetime,delivery_attempts,first_valid_delivery_attempt_datetime,first_valid_delivery_attempt_status,second_valid_delivery_attempt_datetime,second_valid_delivery_attempt_status,third_valid_delivery_attempt_datetime,third_valid_delivery_attempt_status,last_valid_delivery_attempt_datetime,last_valid_delivery_attempt_status,first_failure_reason,second_failure_reason,third_failure_reason,last_failure_reason,delivery_driver_id,items,weight,width,height,length,parcel_size,created_month,row_num,total_rows_per_month
199157240,2022-01-11T14:53:18,,Completed,0,Normal,6737585,VN229632633086W,3 Days - Day/Night,103322,2022-01-12T13:57:56,2,1421333,Shop hẹn ngày giờ lấy,,Huyện Nam Sách,HD,103752,2022-01-15T09:07:20,,1,2022-01-15T09:07:20,Success,,,,,2022-01-15T09:07:20,Success,,,,,1371440,"[{""item_name"":""QUẦN SHORT DANCE LƯNG CAO, pole, twerk"",""item_quantity"":1}]",0.25,0.0,0.0,0.0,s,2022-01,1,24805
199928598,2022-01-14T14:23:38,,Completed,0,Normal,7006074,,3 Days - Anytime,205,2022-01-14T17:27:16,2,1073857,Shop hẹn ngày giờ lấy,,,DN,103668,2022-01-15T18:05:49,,1,2022-01-15T18:05:49,Success,,,,,2022-01-15T18:05:49,Success,,,,,1426104,,0.4,,,,s,2022-01,2,24805
203317956,2022-01-27T13:58:21,0.7,Completed,0,Normal,6073024,,3 Days - Anytime,103718,2022-01-27T14:28:33,1,1442793,,,,BID,530,2022-01-28T17:25:01,,1,2022-01-28T17:25:01,Success,,,,,2022-01-28T17:25:01,Success,,,,,1383531,,0.4,,,,s,2022-01,3,24805
203040174,2022-01-25T13:27:40,,Completed,0,Normal,6471264,VN225315760162I,3 Days - Day/Night,199,2022-01-26T13:38:02,3,1316098,Shop hẹn ngày giờ lấy,,Thành Phố Đồng Xoài,BIP,145,2022-01-28T19:27:00,,2,2022-01-27T17:11:00,Fail,2022-01-28T19:27:00,Success,,,2022-01-28T19:27:00,Success,Đúng địa chỉ không có người nhận,,,,1383526,"[{""item_name"":""Áo thun Fearow Colorful Candy Tee / Đen - FW110"",""item_quantity"":1}]",0.05,0.0,0.0,0.0,s,2022-01,4,24805
197483982,2022-01-05T15:50:17,,Completed,0,Normal,5616337,VN228749670970S,3 Days - Day/Night,1197,2022-01-06T11:58:51,,,,,Quận Hai Bà Trưng,HN,851,2022-01-08T17:40:01,,1,2022-01-08T17:40:01,Success,,,,,2022-01-08T17:40:01,Success,,,,,1330613,"[{""item_name"":""Cây Nho Lùn Pháp 6 Tháng"",""item_quantity"":1},{""item_name"":""Cây Giống Ổi Nữ Hoàng Mới Lạ"",""item_quantity"":1},{""item_name"":""Cây Sung Mỹ Giống Chuẩn"",""item_quantity"":1}]",3.5,5.0,80.0,5.0,l,2022-01,5,24805
196732481,2022-01-03T08:23:23,,Completed,0,Normal,5236737,NTKMP471748629,3 Days - Anytime,15,2022-01-05T22:42:39,924,1256637,Người gửi không nghe máy hoặc địa chỉ không có người gửi,,Thành phố Vinh,NGA,281,2022-01-06T17:15:25,,1,2022-01-06T17:15:25,Success,,,,,2022-01-06T17:15:25,Success,,,,,1281943,,9.0,0.0,0.0,0.0,l,2022-01,6,24805
197453737,2022-01-05T14:19:31,0.06,Completed,0,Normal,7209965,330664457250953,3 Days - Anytime,104,2022-01-05T14:44:05,1,1067928,,,,BAG,104,2022-01-05T20:58:42,,1,2022-01-05T20:58:42,Success,,,,,2022-01-05T20:58:42,Success,,,,,1321478,GIẤY ĂN GẤU TRÚC SIPIAO (1667935262_VNAMZ-7378603109) x1 (301000.0VND),0.2,5.0,5.0,10.0,xl,2022-01,7,24805
198403774,2022-01-09T09:06:57,1.75,Completed,0,Normal,5898055,VN228716404325N,3 Days - Day/Night,103756,2022-01-09T15:35:22,1,1416394,,,Huyện Thuận Thành,BN,1007,2022-01-12T09:50:06,,2,2022-01-11T13:16:47,Fail,2022-01-12T09:50:06,Success,,,2022-01-12T09:50:06,Success,Đúng địa chỉ không có người nhận,,,,1429445,"[{""item_name"":""Dép Nam Nữ Quai Ngang Balen Chữ Trắng - Dép Balen Thời Trang Giá Xưởng Siêu Đẹp"",""item_quantity"":1}]",0.4,0.0,0.0,0.0,s,2022-01,8,24805
198522892,2022-01-09T16:33:32,,Completed,0,Normal,5890520,VN2231029585483,3 Days - Day/Night,259,2022-01-10T17:16:07,1,1311297,,,Quận Bình Thạnh,HCM,1240,2022-01-13T15:01:41,,1,2022-01-13T15:01:41,Success,,,,,2022-01-13T15:01:41,Success,,,,,1426796,"[{""item_name"":""Vòng Tay Trầm Hương HÀNG ĐẸPTrầm Tốc Hương Tự Nhiên- Chuỗi Tràng Hạt 108 hạt-  Mix Hoa Sen, Tặng Hộp Gấm Sang Trọng"",""item_quantity"":1}]",0.15,0.0,0.0,0.0,l,2022-01,9,24805
201086995,2022-01-17T21:22:49,3.67,Completed,0,Normal,372455,334991541610436,3 Days - Anytime,15,2022-01-22T18:41:36,,,,,,TUQ,220,2022-01-24T17:56:16,,1,2022-01-24T17:56:16,Success,,,,,2022-01-24T17:56:16,Success,,,,,1335099,"Nhẫn Châu Âu Và Mỹ Độc Đoán Sáng Tạo Mới Cho Nam, Trang Sức Nhẫn Ziricon Cho Nam Trang Sức Phụ Kiện Yếu Tố Cổ Điển (1312871857_VNAMZ-5147624531) x1 (40000.00VND)",0.1,11.0,2.0,13.0,xs,2022-01,10,24805
203402435,2022-01-28T17:02:01,8.28,Completed,0,Normal,547394,335305213674082,3 Days - Anytime,15,2022-01-29T02:33:03,,,,,,HAN,103904,2022-02-06T14:46:19,,1,2022-02-06T14:46:19,Success,,,,,2022-02-06T14:46:19,Success,,,,,1338879,[MẪU MỚI] Bộ Quần Áo Nam Nữ Unisex Áo Khoác Bomber Phối Quần Dài Bo Gấu Thời Trang Yodi QA NAM 1000105 (1674612500_VNAMZ-7413840926) x1 (139000VND),0.2,15.0,5.0,25.0,s,2022-01,11,24805
201212637,2022-01-18T10:51:33,,Returned to Sender,1,Normal,4847506,VN229832117373I,3 Days - Day/Night,103916,2022-01-18T18:08:43,1,1361147,,,,THB,103916,2022-02-09T10:08:29,2022-01-28T10:24:44,1,2022-01-27T17:35:25,Fail,,,,,2022-01-27T17:35:25,Fail,Khách hàng muốn hủy đơn hàng,,,Khách hàng muốn hủy đơn hàng,1044912,"[{""item_name"":""Sandal nơ đá gót nhọn 9p hot 2020"",""item_quantity"":1}]",0.4,0.0,0.0,0.0,s,2022-01,12,24805
202104480,2022-01-21T11:12:39,26.44,Completed,0,Normal,5550725,,3 Days - Anytime,189,2022-01-21T20:09:26,5,1196259,Người gửi không nghe máy hoặc địa chỉ không có người gửi,,,LA,463,2022-01-23T14:23:32,,1,2022-01-23T14:23:32,Success,,,,,2022-01-23T14:23:32,Success,,,,,1349350,,0.1,,,,s,2022-01,13,24805
202620474,2022-01-23T13:34:10,,Completed,0,Normal,3774040,VN224992601292Q,3 Days - Day/Night,62,2022-01-23T19:14:57,1,1334335,,,Huyện Tân Hiệp,KIG,1272,2022-01-27T14:40:30,,1,2022-01-27T14:40:30,Success,,,,,2022-01-27T14:40:30,Success,,,,,1362858,"[{""item_name"":""Dép đúc quai ngang NAM NỮ mẫu mới siêu đẹp chống trơn trượt cao 5cm hai mầu trắng đen và xanh đen MSPBNN"",""item_quantity"":1}]",0.3,0.0,0.0,0.0,s,2022-01,14,24805
197589358,2022-01-06T08:04:55,,Completed,0,Normal,318421,NJVTK639569095-B,3 Days - Anytime,762,2022-01-08T10:14:14,1,1080649,,,Huyện Ba Tơ,QNG,686,2022-01-09T11:29:04,,1,2022-01-09T11:29:04,Success,,,,,2022-01-09T11:29:04,Success,,,,,1431940,,4.0,25.0,20.0,35.0,s,2022-01,15,24805
202939821,2022-01-24T20:52:20,,Completed,0,Normal,372455,335923513988980,3 Days - Anytime,15,2022-01-28T15:50:01,,,,,,TG,447,2022-02-06T13:55:18,,1,2022-02-06T13:55:18,Success,,,,,2022-02-06T13:55:18,Success,,,,,1239969,"Thảm Sàn Phòng Tắm Chống Trượt, Thảm Tắm Thấm Nước Và Nhanh Khô Thảm Cửa Gia Dụng Dày Thảm Lót Chân Lối Vào Thảm Nhà Bếp Thảm Thảm Phòng Khách (1487269880_VNAMZ-6209005298) x2 (273000VND)",0.6,5.0,10.0,5.0,xs,2022-01,16,24805
